Translate ^nn+nom+++=Translate
to ^in++++=to
Indonesian ^np+++??+=Indonesian
language ^nn+nom+++=language
with ^in++++=with
programmer ^jjr+atrb+++=programmer
perspective ^nn++++=perspective
. ^zz++++=.
Looking ^vbg+++xvbg+=Looking
at ^rb++++=at
our ^pp$+pp1+++=our
models ^nns++++=models
and ^cc++++=and
others ^aps++++=others
looks ^nns++++=looks
like ^in++++=like
the ^ati++++=the
next ^ap++++=next
few ^ap++++=few
weeks ^nns++++=weeks
will ^md+prd+++=will
be ^vb+be+vrb++=be
yet ^rb++++=yet
another ^dt++++=another
jump ^nn++++=jump
up ^rp++++=up
in ^in++++=in
generative ^jj++++=generative
ai ^vb+hv+vrb++=AI
. ^zz++++=.
like ^in++++=Like
where ^wrb+who+whq++=where
does ^vbz+doz+vrb++=does
it ^pp3+it+++=it
stop ^vb++++=stop
? ^zz++++=?
