I ^pp1a+pp1+++=I
require ^vb+vsua+tht0++=require
your ^pp$+pp2+++=your
assistance ^nn+nom+++=assistance
to ^to+vcmp+++=to
rewrite ^vb++++=rewrite
my ^pp$+pp1+++=my
article ^nn++++=article
about ^in++++=about
Claiming ^xvbg+++xvbg+=Claiming
Retention ^nn+nom+++=Retention
Money ^nn++++=Money
after ^in++++=after
Construction ^nn+nom+++=Construction
for ^in++++=for
the ^ati++++=the
persona ^nn++++=persona
of ^in++++=of
a ^at++++=a
Homeowner ^np+nom++??+=Homeowner
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
residential ^jj+atrb+++=residential
construction ^nn+nom+++=construction
in ^in++++=in
Brisbane ^np+++??+=Brisbane
, ^zz++++=,
Au ^&fw++++=AU
. ^zz++++=.
The ^ati++++=The
reference ^nn+nom+++=reference
article ^nn++++=article
is ^vbz+bez+aux++=is
written ^vpsv++agls+xvbnx+=written
for ^in++++=for
New ^jj+atrb+++=New
South ^nr+pl+++=South
Wales ^np++++=Wales
. ^zz++++=.
You ^pp2+pp2+++=You
will ^md+prd+++=will
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
apply ^vb++++=apply
laws ^nns++++=laws
and ^cc++++=and
legislations ^nns+nom+++=legislations
relevant ^jj++++=relevant
to ^in++++=to
Brisbane ^np+++??+=Brisbane
, ^zz++++=,
Au ^&fw++++=AU
for ^in++++=for
the ^ati++++=the
rewritten ^jj+atrb++xvbn+=rewritten
article ^nn++++=article
. ^zz++++=.
for ^in++++=For
now ^rn+tm+++=now
, ^zz++++=,
just ^rb+emph+++=just
acknowledge ^vb+vpub+++=acknowledge
my ^pp$+pp1+++=my
message ^nn+nom+++=message
. ^zz++++=.
