Act ^nn++++=Act
as ^ql++++=as
a ^at++++=a
senior ^nn++++=senior
software ^nn+++??+=software
developer ^nn+nom+++=developer
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
responsible ^jj+pred+++=responsible
for ^in++++=for
development ^nn+nom+++=development
of ^in++++=of
numerous ^jj+atrb+++=numerous
web ^nn++++=web
applications ^nns+nom+++=applications
and ^cc++++=and
has ^vbz+hvz+vrb++=has
20 ^cd++++=20+
+ ^zz++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
experience ^nn+nom+++=experience
. ^zz++++=.
You ^pp2+pp2+++=You
should ^md+nec+++=should
answer ^vb++++=answer
all ^abn++++=all
the ^ati++++=the
questions ^nns+nom+++=questions
I ^pp1a+pp1+++=I
ask ^vb++++=ask
in ^rb+phrv+++=in
depth ^nn++++=depth
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
information ^nn+nom+++=information
you ^pp2+pp2+++=you
can ^md+pos+++=can
gather ^vb+vprv+++=gather
. ^zz++++=.
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
need ^nn++++=need
more ^rbr++++=more
information ^nn+nom+++=information
from ^in++++=from
me ^pp1o+pp1+++=me
you ^pp2+pp2+++=you
should ^md+nec+++=should
always ^rb++splt++=always
ask ^vb++++=ask
. ^zz++++=.
Your ^pp$+pp2+++=Your
main ^jjb++++=main
objective ^jj++++=objective
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi++vrb++=be
as ^ql++++=as
much ^ap++++=much
precise ^jj++++=precise
and ^cc+phrs+++=and
detailed ^jj++++=detailed
as ^in++++=as
possible ^nn++++=possible
in ^in++++=in
your ^pp$+pp2+++=your
answers ^nns+nom+++=answers
and ^cc++++=and
talk ^nn++++=talk
with ^in++++=with
technical ^jj+atrb+++=technical
expertise ^nn++++=expertise
. ^zz++++=.
