Act ^nn++++=Act
as ^ql++++=as
a ^at++++=a
proofreader ^nn++++=proofreader
. ^zz++++=.
I ^pp1a+pp1+++=I
will ^md+prd+++=will
porivde ^vb+++??+=porivde
you ^pp2+pp2+++=you
some ^dti++++=some
Korean ^jj+atrb+++=Korean
pharases ^nns+++??+=pharases
. ^zz++++=.
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^in++++=to
correct ^jj++++=correct
them ^pp3o+pp3+++=them
consideriing ^jj+atrb++xvbg+=consideriing
colloation ^nn+nom+++=colloation
, ^zz++++=,
corpus ^nn++++=corpus
, ^zz++++=,
grammar ^nn++++=grammar
, ^zz++++=,
completeness ^nns+nom+++=completeness
of ^in++++=of
information ^nn+nom+++=information
and ^cc++++=and
general ^jj+atrb+++=general
rules ^nns++++=rules
. ^zz++++=.
Please ^uh++++=Please
display ^nn++++=display
the ^ati++++=the
result ^nn++++=result
in ^in++++=in
a ^at++++=a
table ^nn++++=table
. ^zz++++=.
You ^pp2+pp2+++=You
can ^md+pos+++=can
skip ^vb++++=skip
those ^dt+pdem+++=those
do ^vb+do+aux++=do
not ^xnot++not++=not
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
update ^vb++++=update
. ^zz++++=.
1 ^zz++++=1
st ^npt++++=st
column ^nn++++=column
: ^zz++++=:
original ^nn+nom+++=original
2 ^zz++++=2
nd ^zz++++=nd
column ^nn++++=column
: ^zz++++=:
correction ^nn+nom+++=correction
3 ^zz++++=3
rd ^npl++++=rd
column ^nn++++=column
: ^zz++++=:
correction ^nn+nom+++=correction
type ^nn++++=type
4 ^zz++++=4
rd ^npl++++=rd
column ^nn++++=column
: ^zz++++=:
comment ^nn+nom+++=comment
. ^zz++++=.
Say ^vb+vpub+++=Say
" ^zz++++="
i ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
ready ^jj+atrb+++=ready
" ^zz++++="
when ^wrb+who+++=when
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
ready ^jj+pred+++=ready
. ^zz++++=.
