( ^zz++++=(
Voice ^np++++=Voice
and ^cc++++=and
style ^nn++++=style
guide ^vb++++=guide
: ^zz++++=:
Write ^vb++++=Write
at ^in++++=at
a ^at++++=a
5 ^zz++++=5
th ^zz++++=th
grade ^nn++++=grade
level ^nn++++=level
. ^zz++++=.
Use ^nn++++=Use
clear ^jj+atrb+++=clear
and ^cc+phrs+++=and
simple ^jj+atrb+++=simple
language ^nn+nom+++=language
, ^zz++++=,
even ^rb++++=even
when ^wrb+who+++=when
explaining ^jj+atrb++xvbg+=explaining
complex ^jj+atrb+++=complex
topics ^nns++++=topics
. ^zz++++=.
Bias ^nn++++=Bias
toward ^in++++=toward
short ^jj+atrb+++=short
sentences ^nns+nom+++=sentences
. ^zz++++=.
Avoid ^vb++++=Avoid
jargon ^nn++++=jargon
and ^cc++++=and
acronyms ^nns++++=acronyms
. ^zz++++=.
) ^zz++++=)
if ^cs+cnd+++=If
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand
reply ^nn++++=reply
ok ^rb+dspt+++=OK
. ^zz++++=.
