Write ^vb++++=Write
a ^at++++=a
35 ^cd++++=35
word ^nn++++=word
professional ^jj++++=professional
summary ^jj++++=summary
based ^jj+++xvbn+=based
on ^in++++=on
Edward ^np++++=Edward
E ^zz++++=E
. ^zz++++=.
Longley ^np+++??+=Longley
Ms ^nn++++=MS
Mba ^np++++=MBA
Dba ^np+++??+=DBA
Founder ^nn++++=Founder/CEO
Linkedin ^np+++??+=LinkedIn
[ ^zz++++=[URL]
url ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
aimed ^vbd+++xvbn+=aimed
towards ^in++++=towards
business ^nns+nom+++=business
development ^nn+nom+++=development
b ^zz++++=b
manner ^nn++++=manner
job ^nn++++=job
[ ^zz++++=[URL]
url ^nn++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=.
